product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate
h323;on;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1420;1801;2861;3242;icq;on;tls;off;false;speex-8000;rtx;1080;on;on;507;2130;3324;428
sip;off;tls;off;auto;telephone-event-80000;ulpfec;1080;off;on;979;4630;4416;449;h323;off;auto;besteffort;auto;auto;auto;240;on;off;1403;4945;52;4142
sip;on;tls;off;true;telephone-event-80000;ulpfec;1080;off;on;979;4630;3997;449;h323;off;auto;besteffort;auto;auto;auto;240;on;on;507;4980;52;4290
googletalk;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1492;4751;1120;79;iptel.org;off;auto;off;auto;speex-8000;ulpfec;1080;on;on;514;3358;3415;4146
irc;on;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1492;1801;2247;3242;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;507;1298;3324;428
sip;off;tls;off;auto;telephone-event-80000;ulpfec;1080;off;on;979;4630;4416;449;h323;off;auto;besteffort;auto;auto;auto;240;on;off;1403;4945;52;4142
sip;off;tcp;off;auto;silk-8000;auto;1080;off;off;591;4116;4894;1078;ippi;off;auto;besteffort;auto;telephone-event-80000;auto;360;on;off;507;4898;52;4479
aim;on;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1492;1801;2247;3242;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;507;1298;3324;428
aim;on;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1492;1801;2247;3242;googletalk;on;tls;off;true;speex-8000;rtx;1080;on;on;507;1298;3324;428
sip;off;tls;off;auto;telephone-event-80000;ulpfec;1080;off;off;979;4630;4416;690;h323;off;auto;besteffort;auto;auto;auto;240;on;off;664;4945;52;4290
googletalk;off;tcp;off;auto;telephone-event-80000;auto;1080;off;on;979;4630;3997;449;h323;off;auto;besteffort;auto;auto;auto;240;on;on;507;4611;200;4451
aim;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1492;4751;1120;79;iptel.org;off;auto;off;false;auto;vp8;240;on;on;507;4980;52;4290
googletalk;off;tls;off;auto;telephone-event-80000;ulpfec;1080;off;off;979;4630;4416;690;h323;off;auto;besteffort;auto;auto;auto;240;on;off;500;4945;52;4142
sip;on;tls;off;auto;telephone-event-80000;ulpfec;1080;off;on;979;4630;3997;449;ippi;off;auto;besteffort;auto;auto;auto;240;on;on;507;4927;2669;4420
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1420;1801;1107;3218;iptel.org;off;tls;off;true;speex-8000;auto;720;on;on;507;3366;1302;1164
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1492;1801;2861;3242;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;507;2130;3324;428
googletalk;off;auto;off;auto;pcmu-8000;h264;1080;on;off;1492;1801;2744;3242;icq;off;auto;off;false;speex-8000;h264;1080;on;on;507;2130;3324;428
sip;off;tls;off;auto;telephone-event-80000;auto;1080;off;off;873;4098;4894;3193;ippi;off;auto;off;true;telephone-event-80000;auto;360;on;off;664;4945;52;4290
googletalk;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1446;1801;1743;3193;iptel.org;off;tls;off;false;speex-8000;rtx;720;on;on;507;4370;928;864
googletalk;off;tls;off;auto;speex-8000;ulpfec;1080;off;off;863;4098;4894;1078;ippi;off;auto;off;auto;telephone-event-80000;auto;360;on;off;507;4898;52;4142
googletalk;on;auto;off;auto;telephone-event-80000;auto;1080;off;off;591;4098;4894;3193;ippi;off;auto;off;false;pcma-8000;auto;360;on;on;507;3358;3415;4928
googletalk;off;udp;off;auto;gsm-8000;auto;1080;off;off;591;4098;4894;449;h323;off;auto;besteffort;auto;auto;auto;360;on;off;507;4898;52;4142
aim;on;auto;besteffort;false;ilbc-8000;h264;1080;off;off;971;4751;1120;79;iptel.org;off;auto;off;false;amr-wb-16000;ulpfec;240;on;on;507;4755;827;4146
aim;on;auto;besteffort;true;pcmu-8000;h264;1080;off;off;1492;4751;2861;3133;icq;on;auto;off;false;speex-8000;auto;240;on;on;507;4980;52;4290
sip;off;tcp;off;auto;telephone-event-80000;auto;1080;off;off;591;4098;4894;1078;ippi;off;auto;off;true;telephone-event-80000;auto;360;on;off;507;4945;4244;4290
googletalk;on;auto;off;auto;pcmu-8000;ulpfec;1080;off;off;910;3070;349;3188;ippi;off;auto;off;true;pcmu-8000;auto;360;on;off;507;4877;2949;4146
aim;off;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1420;1801;2861;3242;icq;on;tls;off;false;speex-8000;rtx;1080;on;on;507;2130;3324;428
aim;on;auto;besteffort;auto;ilbc-8000;h264;360;off;off;1492;4751;642;477;ippi;off;auto;off;true;pcma-8000;ulpfec;480;on;on;507;4980;52;4290
googletalk;off;udp;off;auto;gsm-8000;auto;1080;off;off;591;4098;4894;449;h323;off;auto;besteffort;auto;pcma-8000;auto;360;on;off;664;4945;52;4290
