product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
sip;off;tls;on;auto;silk-24000;vp8;240;on;on;1103;4728;1688;1878;h323;off;auto;besteffort;auto;silk-16000;vp8;240;on;off;928;2607;51;3851;Failed
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;1103;4916;1031;1878;h323;off;auto;besteffort;auto;silk-16000;vp8;240;on;off;928;2607;51;3851;Failed
iptel.org;off;tls;off;auto;amr-wb-16000;h264;480;on;on;954;4694;1110;1333;icq;off;auto;off;auto;silk-24000;rtx;1080;on;on;974;2329;418;4112;Connected
iptel.org;on;tcp;off;auto;speex-8000;red;720;off;off;1242;1588;4947;3792;icq;on;auto;off;true;auto;rtx;1080;on;on;1312;3594;4207;1353;Connected
sip;on;tls;on;auto;silk-24000;vp8;360;off;off;1103;4728;1688;1878;irc;on;auto;on;auto;ilbc-8000;vp8;480;on;off;657;2607;63;1353;Failed
iptel.org;on;tls;off;auto;amr-wb-16000;red;720;off;off;720;4943;4947;3792;icq;on;udp;off;false;g722-16000;rtx;1080;on;on;1312;3594;1309;511;Connected
iptel.org;on;tls;off;auto;amr-wb-16000;red;720;off;off;720;4943;4947;3792;icq;on;udp;off;false;g722-16000;rtx;1080;on;on;1312;4610;1309;511;Failed
iptel.org;on;tls;off;auto;amr-wb-16000;red;720;off;off;720;4943;4947;3792;icq;on;auto;off;false;g722-16000;rtx;1080;on;on;1312;3594;1309;511;Connected
h323;off;tls;on;auto;silk-24000;vp8;480;off;on;1145;4943;2651;1878;irc;off;auto;off;auto;amr-wb-16000;vp8;480;on;off;974;2607;51;3851;Failed
sip;off;tls;on;auto;silk-24000;vp8;480;off;on;857;4943;2913;750;irc;on;auto;on;auto;ilbc-8000;ulpfec;1080;on;off;716;2607;51;3851;Failed
