product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
googletalk;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;4500;1277;767;iptel.org;on;auto;off;auto;g722-16000;ulpfec;1080;on;on;524;3451;3169;1698;Failed
googletalk;on;udp;off;true;speex-8000;vp8;1080;off;on;971;4500;970;197;h323;off;auto;besteffort;auto;auto;vp8;360;on;on;524;4604;400;4333;Failed
aim;off;auto;besteffort;auto;pcmu-8000;h264;720;on;off;1490;1769;1324;3362;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;535;3451;3289;459;Connected
aim;off;auto;besteffort;auto;pcmu-8000;h264;720;on;off;1490;1769;3394;3362;googletalk;on;tls;off;false;speex-8000;auto;1080;on;on;535;2181;3169;274;Failed
googletalk;off;tls;off;auto;silk-12000;auto;1080;off;off;658;4500;4850;1496;irc;off;auto;besteffort;auto;auto;auto;360;on;off;548;4456;2851;4194;Failed
googletalk;on;udp;off;true;speex-8000;vp8;1080;off;off;971;4500;970;197;h323;off;auto;besteffort;auto;auto;vp8;360;on;on;524;4604;400;4333;Failed
aim;off;tls;off;auto;pcmu-8000;auto;1080;on;off;942;1576;520;3110;irc;off;auto;off;true;pcma-8000;auto;360;on;off;685;4947;2704;4733;Failed
googletalk;off;tls;off;auto;silk-12000;auto;1080;off;off;907;4500;878;2471;ippi;off;auto;besteffort;auto;silk-8000;auto;360;on;off;685;4947;242;4180;Connected
googletalk;off;tls;off;auto;silk-12000;auto;1080;off;off;658;4500;4545;1496;irc;off;auto;besteffort;auto;auto;auto;360;on;off;520;4947;3169;4187;Failed
googletalk;off;tls;off;auto;silk-12000;auto;1080;off;off;658;4500;4850;1496;irc;off;auto;besteffort;auto;auto;auto;360;on;off;520;4947;400;4333;Failed
googletalk;on;tcp;off;auto;gsm-8000;vp8;1080;off;off;823;4500;970;197;irc;off;auto;besteffort;auto;auto;auto;360;on;off;520;4604;400;4733;Failed
sip;off;auto;off;true;speex-8000;vp8;1080;off;off;971;4500;970;197;iptel.org;off;auto;besteffort;auto;auto;vp8;360;on;on;908;4947;400;4406;Failed
googletalk;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;4500;1277;767;irc;on;auto;off;false;speex-8000;ulpfec;1080;on;on;524;3451;1550;1698;Failed
googletalk;off;tls;off;auto;silk-12000;auto;1080;off;off;971;4500;4545;3113;irc;off;auto;besteffort;auto;silk-8000;auto;360;on;off;685;4947;242;4180;Connected
googletalk;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;4500;1277;767;iptel.org;on;udp;off;false;speex-8000;ulpfec;1080;on;on;548;3451;3289;459;Failed
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1275;897;1830;3224;ippi;off;tls;off;false;speex-8000;rtx;1080;on;on;535;3451;3289;459;Connected
googletalk;off;tls;off;auto;silk-12000;auto;1080;off;off;971;4500;970;197;iptel.org;off;auto;besteffort;auto;auto;auto;360;on;on;908;4947;400;4333;Failed
googletalk;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1490;1769;1324;3362;ippi;on;tls;off;false;speex-8000;ulpfec;1080;on;on;548;3451;3289;1698;Failed
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1490;3483;1825;3362;irc;on;udp;off;false;speex-8000;ulpfec;1080;on;on;535;3551;400;4733;Failed
aim;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1490;1769;3331;3362;googletalk;on;tls;off;false;speex-8000;ulpfec;1080;on;on;548;2511;4166;459;Connected
googletalk;off;tcp;off;auto;silk-12000;auto;1080;on;off;884;1576;520;3110;iptel.org;off;auto;off;true;pcmu-8000;auto;360;on;off;520;4755;4000;3817;Connected
googletalk;off;auto;off;auto;pcmu-8000;auto;1080;on;off;907;897;4341;3224;ippi;off;tls;off;auto;pcma-8000;auto;360;on;off;685;4456;242;4333;Failed
googletalk;off;auto;off;auto;pcmu-8000;auto;1080;on;off;907;897;4341;3224;ippi;off;tls;off;true;pcma-8000;auto;360;on;off;685;3008;3431;843;Failed
aim;off;auto;besteffort;auto;pcmu-8000;h264;720;on;off;1490;1769;3394;3362;googletalk;on;tls;off;false;speex-8000;ulpfec;1080;on;on;713;3451;3289;459;Failed
googletalk;on;auto;besteffort;true;ilbc-8000;h264;720;on;off;1490;4796;1324;3362;irc;on;udp;off;false;speex-8000;ulpfec;1080;on;on;520;3451;3289;4333;Failed
googletalk;on;tcp;off;auto;amr-wb-16000;vp8;1080;off;off;823;4500;970;197;irc;off;auto;off;auto;auto;auto;360;on;off;520;4604;400;4733;Failed
googletalk;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;4500;1277;767;iptel.org;on;auto;off;false;ilbc-8000;ulpfec;720;on;on;535;4805;400;4194;Failed
aim;on;tcp;off;auto;silk-12000;vp8;1080;off;off;971;4500;970;197;iptel.org;off;auto;besteffort;auto;auto;vp8;360;on;on;524;4604;400;4333;Failed
aim;on;auto;off;auto;silk-12000;auto;1080;off;off;907;4500;970;197;h323;off;auto;off;auto;silk-8000;auto;360;on;off;520;4456;242;4180;Failed
googletalk;on;auto;besteffort;auto;pcma-8000;auto;1080;off;off;971;4500;970;197;h323;off;auto;off;true;pcma-8000;auto;360;on;off;535;4947;3300;4180;Failed
aim;off;auto;off;auto;pcmu-8000;h264;1080;on;off;1167;897;1830;3224;ippi;off;tls;off;true;pcmu-8000;auto;360;on;off;685;4604;3169;4733;Connected
googletalk;off;auto;off;auto;silk-12000;auto;1080;off;off;971;4500;4545;3113;irc;off;auto;off;true;pcma-8000;auto;360;on;on;524;4604;400;4333;Failed
googletalk;on;udp;off;true;speex-8000;vp8;1080;off;off;971;4500;970;1027;h323;off;auto;besteffort;auto;auto;vp8;360;on;on;524;4604;400;4333;Failed
googletalk;on;auto;off;auto;pcmu-8000;h264;1080;off;off;699;2590;1324;3362;ippi;off;tls;off;false;ilbc-8000;ulpfec;1080;on;on;520;3451;400;1361;Failed
aim;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;4500;1277;767;iptel.org;off;auto;off;auto;g722-16000;ulpfec;1080;on;on;524;3451;3169;1698;Connected
aim;on;auto;besteffort;auto;pcmu-8000;h264;360;on;off;1490;1769;1324;3362;googletalk;on;tls;off;false;speex-8000;ulpfec;1080;on;on;548;2511;3289;459;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1393;4500;970;617;h323;off;auto;off;true;pcma-8000;auto;360;on;off;520;4947;400;4194;Failed
googletalk;on;auto;off;auto;silk-12000;vp8;1080;off;off;971;4500;4682;197;iptel.org;off;auto;besteffort;auto;pcma-8000;auto;360;on;on;524;4947;400;4180;Failed
googletalk;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;4500;1277;767;iptel.org;on;auto;off;false;ilbc-8000;ulpfec;720;on;on;548;3451;3289;1698;Failed
aim;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;4500;1277;767;iptel.org;on;auto;off;auto;g722-16000;ulpfec;1080;on;on;524;3451;3169;1698;Connected
googletalk;on;auto;besteffort;true;ilbc-8000;h264;720;off;off;1490;4500;1277;767;iptel.org;on;auto;off;false;ilbc-8000;ulpfec;1080;on;on;535;4169;2710;3649;Failed
googletalk;off;tls;off;auto;pcmu-8000;auto;1080;on;off;942;1803;520;3110;iptel.org;off;auto;off;false;pcma-8000;auto;360;on;off;535;4456;242;4194;Failed
googletalk;on;auto;off;auto;speex-8000;vp8;1080;off;off;1443;4500;4545;1496;irc;off;auto;besteffort;auto;auto;auto;360;on;on;524;4947;400;4180;Failed
aim;off;auto;off;auto;silk-12000;vp8;1080;off;off;971;4500;970;197;iptel.org;off;auto;besteffort;auto;speex-32000;vp8;360;on;on;524;4947;242;4180;Failed
