product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate
iptel.org;off;tls;off;auto;pcma-8000;h264;480;on;on;1049;4827;2914;1231;icq;on;auto;off;auto;silk-12000;rtx;1080;on;off;966;3997;113;3901
sip;off;tls;on;auto;silk-24000;vp8;480;on;on;1052;4827;3102;1231;irc;off;auto;besteffort;auto;speex-32000;vp8;240;on;off;938;2695;113;3946
iptel.org;on;tls;off;auto;pcma-8000;red;720;off;off;1049;283;4494;2932;icq;off;udp;off;true;telephone-event-80000;rtx;1080;on;on;1139;3570;1311;2457
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;1052;4827;2478;1231;irc;off;auto;besteffort;auto;telephone-event-80000;vp8;240;on;off;525;2564;113;3946
sip;off;tls;on;auto;opus-48000;vp8;1080;off;off;1282;4974;3933;1231;irc;off;auto;off;auto;speex-32000;vp8;480;on;off;525;3857;269;1923
iptel.org;on;tls;off;auto;pcma-8000;red;720;off;off;1049;283;4494;2932;icq;off;udp;off;true;telephone-event-80000;rtx;1080;on;on;1139;3570;1311;2457
iptel.org;on;tcp;off;auto;pcma-8000;red;720;off;off;1049;4827;4494;2932;icq;off;udp;off;true;telephone-event-80000;rtx;1080;on;on;1139;3570;84;1924
iptel.org;on;tcp;off;auto;pcma-8000;red;720;off;off;1049;283;4494;2932;icq;off;udp;off;true;telephone-event-80000;rtx;1080;on;on;1139;3570;84;1924
irc;off;tls;on;auto;silk-24000;auto;240;off;on;1185;4827;3102;1231;irc;on;auto;on;auto;speex-32000;vp8;480;on;off;965;4059;269;1923
sip;off;tls;on;auto;opus-48000;vp8;240;off;off;1282;4827;3933;1231;irc;off;auto;off;auto;speex-32000;vp8;480;on;off;1114;2878;246;2298
irc;off;tls;on;auto;silk-24000;vp8;240;off;on;1052;4827;3102;1231;irc;off;auto;besteffort;auto;telephone-event-80000;vp8;240;on;off;537;2592;295;3901
