product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate
sip;on;udp;off;auto;telephone-event-80000;red;480;off;on;952;3086;1509;3690;sip;on;tls;on;auto;telephone-event-80000;rtx;480;on;on;778;895;3460;2225
icq;on;tls;off;true;pcmu-8000;h264;240;off;on;856;4148;2993;896;icq;on;tcp;besteffort;false;speex-16000;rtx;1080;on;on;694;1359;4955;2474
iptel.org;off;tcp;besteffort;true;speex-16000;red;360;off;off;1328;2414;3073;1584;aim;off;udp;besteffort;true;g722-16000;h264;1080;on;on;824;1475;2451;2680
icq;on;udp;on;auto;gsm-8000;ulpfec;720;off;off;610;267;4082;3947;irc;off;tls;besteffort;false;gsm-8000;ulpfec;1080;off;off;1413;61;3770;4959
googletalk;on;tcp;besteffort;true;g722-16000;vp8;240;on;on;585;823;1137;1829;irc;on;tcp;off;auto;silk-8000;ulpfec;1080;on;on;1455;4414;4968;1488
googletalk;off;tcp;on;false;ilbc-8000;red;360;off;off;1440;4181;2093;2188;iptel.org;off;auto;on;auto;silk-16000;vp8;720;off;off;1124;4643;3185;4417
irc;off;auto;besteffort;false;pcmu-8000;h264;360;off;on;1106;2234;4690;811;aim;off;udp;off;true;pcmu-8000;rtx;240;on;off;1322;4563;1787;1720
icq;on;udp;besteffort;auto;opus-48000;vp8;720;off;on;936;3310;2902;4809;icq;on;tcp;besteffort;false;auto;h264;480;on;on;1040;4786;1677;4219
sip;on;tls;besteffort;auto;silk-16000;vp8;1080;off;on;1405;348;1333;2341;sip;on;auto;on;true;opus-48000;auto;480;off;off;1180;1739;2215;1860
googletalk;on;tls;off;false;pcma-8000;vp8;360;off;on;1164;3377;4295;3579;iptel.org;off;tcp;on;auto;opus-48000;h264;720;on;off;754;886;4959;1133
irc;off;tls;besteffort;false;pcmu-8000;h264;480;on;on;650;878;2684;4167;sip;off;tcp;on;true;ilbc-8000;vp8;1080;off;on;972;1446;3992;2021
sip;on;udp;on;false;silk-12000;auto;480;on;off;588;4929;4504;3561;iptel.org;on;tls;on;false;speex-16000;red;720;on;on;801;4289;1255;3474
aim;off;tcp;besteffort;true;silk-12000;auto;480;off;off;1061;738;2137;2699;h323;off;tcp;on;auto;silk-12000;h264;480;off;on;987;2883;3259;2428
googletalk;on;tls;on;true;auto;auto;240;on;off;698;314;2980;1497;aim;off;auto;off;true;pcmu-8000;auto;1080;off;off;747;4385;2481;1380
iptel.org;on;tls;besteffort;false;pcma-8000;red;480;on;on;691;376;3023;3954;icq;off;auto;on;true;silk-16000;h264;480;on;on;826;1095;965;3428
h323;on;udp;besteffort;false;auto;vp8;240;off;on;809;2543;1541;2963;icq;off;udp;on;true;pcmu-8000;vp8;360;on;on;1221;4985;673;3988
h323;on;udp;besteffort;auto;speex-8000;ulpfec;1080;on;off;1038;3110;1873;1563;irc;off;auto;on;auto;auto;auto;1080;on;on;715;3226;1185;4695
iptel.org;off;udp;off;true;pcmu-8000;red;480;on;off;666;2959;749;2757;h323;on;udp;besteffort;auto;amr-wb-16000;auto;720;off;off;1074;2728;4664;2150
icq;on;auto;off;false;ilbc-8000;rtx;360;off;on;992;958;2462;1215;h323;off;tls;besteffort;auto;silk-8000;red;240;on;on;704;1426;2218;3936
ippi;off;tcp;off;false;pcma-8000;auto;720;on;off;1457;2346;1702;3327;icq;off;tls;off;auto;silk-24000;auto;720;on;off;867;2713;1811;1152
googletalk;on;tcp;besteffort;true;silk-16000;auto;480;off;on;691;4279;1853;3319;h323;off;tcp;besteffort;auto;speex-32000;ulpfec;1080;on;on;798;980;2526;4715
h323;off;tcp;on;false;speex-32000;red;480;on;on;814;1025;469;3147;ippi;on;tcp;besteffort;false;silk-16000;auto;1080;off;off;816;4688;3904;435
googletalk;on;tcp;off;false;speex-8000;red;720;on;off;643;3347;1672;3200;sip;on;tcp;off;true;pcma-8000;ulpfec;480;on;on;1096;1894;3553;4165
irc;off;udp;besteffort;auto;auto;auto;1080;off;off;1205;1940;501;4893;googletalk;off;tcp;off;false;speex-16000;ulpfec;360;off;on;500;229;2353;2534
googletalk;on;tls;on;true;amr-wb-16000;ulpfec;720;on;on;1328;3699;1606;1824;iptel.org;off;tls;off;false;telephone-event-80000;auto;1080;on;on;1166;1424;2625;824
iptel.org;on;auto;on;false;speex-8000;auto;360;off;on;1274;4501;3433;3835;h323;on;udp;besteffort;auto;pcma-8000;vp8;240;off;on;1424;4763;4395;3444
